Kommunenr,Kommunenavn,Fylkenr,Fylkenavn,RHF,HF,Stråleterapienhet,Befolkning2020
1812,Sømna,18,Nordland,Helse Nord,Helgelandssykehuset,UNN Tromsø,1981
1813,Brønnøy,18,Nordland,Helse Nord,Helgelandssykehuset,UNN Tromsø,7777
1815,Vega,18,Nordland,Helse Nord,Helgelandssykehuset,UNN Tromsø,1175
1816,Vevelstad,18,Nordland,Helse Nord,Helgelandssykehuset,UNN Tromsø,462
1818,Herøy (Nordland),18,Nordland,Helse Nord,Helgelandssykehuset,UNN Tromsø,1825
1820,Alstahaug,18,Nordland,Helse Nord,Helgelandssykehuset,UNN Tromsø,7333
1822,Leirfjord,18,Nordland,Helse Nord,Helgelandssykehuset,UNN Tromsø,2257
1824,Vefsn,18,Nordland,Helse Nord,Helgelandssykehuset,UNN Tromsø,13233
1825,Grane,18,Nordland,Helse Nord,Helgelandssykehuset,UNN Tromsø,1461
1826,Hattfjelldal,18,Nordland,Helse Nord,Helgelandssykehuset,UNN Tromsø,1273
1827,Dønna,18,Nordland,Helse Nord,Helgelandssykehuset,UNN Tromsø,1369
1828,Nesna,18,Nordland,Helse Nord,Helgelandssykehuset,UNN Tromsø,1698
1832,Hemnes,18,Nordland,Helse Nord,Helgelandssykehuset,UNN Tromsø,4420
1833,Rana,18,Nordland,Helse Nord,Helgelandssykehuset,UNN Tromsø,26092
1834,Lurøy,18,Nordland,Helse Nord,Helgelandssykehuset,UNN Tromsø,1869
1835,Træna,18,Nordland,Helse Nord,Helgelandssykehuset,UNN Tromsø,450
1836,Rødøy,18,Nordland,Helse Nord,Helgelandssykehuset,UNN Tromsø,1153
4601,Bergen,46,Vestland,Helse Vest,Helse Bergen,Haukeland Universitetssykehus,286930
4620,Ulvik,46,Vestland,Helse Vest,Helse Bergen,Haukeland Universitetssykehus,1051
4621,Voss,46,Vestland,Helse Vest,Helse Bergen,Haukeland Universitetssykehus,15875
4622,Kvam,46,Vestland,Helse Vest,Helse Bergen,Haukeland Universitetssykehus,8497
4623,Samnanger,46,Vestland,Helse Vest,Helse Bergen,Haukeland Universitetssykehus,2501
4624,Bjørnafjorden,46,Vestland,Helse Vest,Helse Bergen,Haukeland Universitetssykehus,25213
4625,Austevoll,46,Vestland,Helse Vest,Helse Bergen,Haukeland Universitetssykehus,5283
4626,Øygarden,46,Vestland,Helse Vest,Helse Bergen,Haukeland Universitetssykehus,39032
4627,Askøy,46,Vestland,Helse Vest,Helse Bergen,Haukeland Universitetssykehus,29816
4628,Vaksdal,46,Vestland,Helse Vest,Helse Bergen,Haukeland Universitetssykehus,3867
4629,Modalen,46,Vestland,Helse Vest,Helse Bergen,Haukeland Universitetssykehus,378
4630,Osterøy,46,Vestland,Helse Vest,Helse Bergen,Haukeland Universitetssykehus,8131
4631,Alver,46,Vestland,Helse Vest,Helse Bergen,Haukeland Universitetssykehus,29593
4632,Austrheim,46,Vestland,Helse Vest,Helse Bergen,Haukeland Universitetssykehus,2889
4633,Fedje,46,Vestland,Helse Vest,Helse Bergen,Haukeland Universitetssykehus,502
4634,Masfjorden,46,Vestland,Helse Vest,Helse Bergen,Haukeland Universitetssykehus,1629
1106,Haugesund,11,Rogaland,Helse Vest,Helse Fonna,Haukeland Universitetssykehus,37444
1134,Suldal,11,Rogaland,Helse Vest,Helse Fonna,Haukeland Universitetssykehus,3784
1135,Sauda,11,Rogaland,Helse Vest,Helse Fonna,Haukeland Universitetssykehus,4525
1145,Bokn,11,Rogaland,Helse Vest,Helse Fonna,Haukeland Universitetssykehus,855
1146,Tysvær,11,Rogaland,Helse Vest,Helse Fonna,Haukeland Universitetssykehus,11283
1149,Karmøy,11,Rogaland,Helse Vest,Helse Fonna,Haukeland Universitetssykehus,42541
1151,Utsira,11,Rogaland,Helse Vest,Helse Fonna,Haukeland Universitetssykehus,188
1160,Vindafjord,11,Rogaland,Helse Vest,Helse Fonna,Haukeland Universitetssykehus,8775
4611,Etne,46,Vestland,Helse Vest,Helse Fonna,Haukeland Universitetssykehus,4043
4612,Sveio,46,Vestland,Helse Vest,Helse Fonna,Haukeland Universitetssykehus,5775
4613,Bømlo,46,Vestland,Helse Vest,Helse Fonna,Haukeland Universitetssykehus,12061
4614,Stord,46,Vestland,Helse Vest,Helse Fonna,Haukeland Universitetssykehus,18919
4615,Fitjar,46,Vestland,Helse Vest,Helse Fonna,Haukeland Universitetssykehus,3117
4616,Tysnes,46,Vestland,Helse Vest,Helse Fonna,Haukeland Universitetssykehus,2883
4617,Kvinnherad,46,Vestland,Helse Vest,Helse Fonna,Haukeland Universitetssykehus,13017
4618,Ullensvang,46,Vestland,Helse Vest,Helse Fonna,Haukeland Universitetssykehus,10881
4619,Eidfjord,46,Vestland,Helse Vest,Helse Fonna,Haukeland Universitetssykehus,937
4602,Kinn,46,Vestland,Helse Vest,Helse Førde,Haukeland Universitetssykehus,17131
4635,Gulen,46,Vestland,Helse Vest,Helse Førde,Haukeland Universitetssykehus,2230
4636,Solund,46,Vestland,Helse Vest,Helse Førde,Haukeland Universitetssykehus,768
4637,Hyllestad,46,Vestland,Helse Vest,Helse Førde,Haukeland Universitetssykehus,1290
4638,Høyanger,46,Vestland,Helse Vest,Helse Førde,Haukeland Universitetssykehus,3965
4639,Vik,46,Vestland,Helse Vest,Helse Førde,Haukeland Universitetssykehus,2560
4640,Sogndal,46,Vestland,Helse Vest,Helse Førde,Haukeland Universitetssykehus,12097
4641,Aurland,46,Vestland,Helse Vest,Helse Førde,Haukeland Universitetssykehus,1766
4642,Lærdal,46,Vestland,Helse Vest,Helse Førde,Haukeland Universitetssykehus,2117
4643,Årdal,46,Vestland,Helse Vest,Helse Førde,Haukeland Universitetssykehus,5204
4644,Luster,46,Vestland,Helse Vest,Helse Førde,Haukeland Universitetssykehus,5246
4645,Askvoll,46,Vestland,Helse Vest,Helse Førde,Haukeland Universitetssykehus,2951
4646,Fjaler,46,Vestland,Helse Vest,Helse Førde,Haukeland Universitetssykehus,2901
4647,Sunnfjord,46,Vestland,Helse Vest,Helse Førde,Haukeland Universitetssykehus,22116
4648,Bremanger,46,Vestland,Helse Vest,Helse Førde,Haukeland Universitetssykehus,3521
4649,Stad,46,Vestland,Helse Vest,Helse Førde,Haukeland Universitetssykehus,9527
4650,Gloppen,46,Vestland,Helse Vest,Helse Førde,Haukeland Universitetssykehus,5875
4651,Stryn,46,Vestland,Helse Vest,Helse Førde,Haukeland Universitetssykehus,7207
1505,Kristiansund,15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,24013
1506,Molde,15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,32002
1507,Ålesund,15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,67114
1511,Vanylven,15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,3045
1514,Sande (Møre og Romsdal),15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,2422
1515,Herøy (Møre og Romsdal),15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,8765
1516,Ulstein,15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,8557
1517,Hareid,15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,5126
1520,Ørsta,15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,10833
1525,Stranda,15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,4467
1528,Sykkylven,15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,7558
1531,Sula,15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,9547
1532,Giske,15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,8597
1535,Vestnes,15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,6936
1539,Rauma,15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,7019
1547,Aukra,15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,3518
1554,Averøy,15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,5828
1557,Gjemnes,15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,2669
1560,Tingvoll,15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,2960
1563,Sunndal,15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,6932
1566,Surnadal,15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,5849
1573,Smøla,15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,2120
1576,Aure,15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,3384
1577,Volda,15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,10809
1578,Fjord,15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,2491
1579,Hustadvika,15,Møre og Romsdal,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,13287
5055,Heim,50,Trøndelag,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,5884
5061,Rindal,50,Trøndelag,Helse Midt-Norge,Helse Møre og Romsdal,Ålesund Sjukehus,1980
5006,Steinkjer,50,Trøndelag,Helse Midt-Norge,Helse Nord-Trøndelag,St Olavs Hospital,24004
5007,Namsos,50,Trøndelag,Helse Midt-Norge,Helse Nord-Trøndelag,St Olavs Hospital,15001
5020,Osen,50,Trøndelag,Helse Midt-Norge,Helse Nord-Trøndelag,St Olavs Hospital,904
5032,Selbu,50,Trøndelag,Helse Midt-Norge,Helse Nord-Trøndelag,St Olavs Hospital,4090
5033,Tydal,50,Trøndelag,Helse Midt-Norge,Helse Nord-Trøndelag,St Olavs Hospital,750
5034,Meråker,50,Trøndelag,Helse Midt-Norge,Helse Nord-Trøndelag,St Olavs Hospital,2399
5035,Stjørdal,50,Trøndelag,Helse Midt-Norge,Helse Nord-Trøndelag,St Olavs Hospital,24287
5036,Frosta,50,Trøndelag,Helse Midt-Norge,Helse Nord-Trøndelag,St Olavs Hospital,2608
5037,Levanger,50,Trøndelag,Helse Midt-Norge,Helse Nord-Trøndelag,St Olavs Hospital,20171
5038,Verdal,50,Trøndelag,Helse Midt-Norge,Helse Nord-Trøndelag,St Olavs Hospital,14955
5041,Snåsa,50,Trøndelag,Helse Midt-Norge,Helse Nord-Trøndelag,St Olavs Hospital,2033
5042,Lierne,50,Trøndelag,Helse Midt-Norge,Helse Nord-Trøndelag,St Olavs Hospital,1309
5043,Røyrvik,50,Trøndelag,Helse Midt-Norge,Helse Nord-Trøndelag,St Olavs Hospital,441
5044,Namsskogan,50,Trøndelag,Helse Midt-Norge,Helse Nord-Trøndelag,St Olavs Hospital,818
5045,Grong,50,Trøndelag,Helse Midt-Norge,Helse Nord-Trøndelag,St Olavs Hospital,2287
5046,Høylandet,50,Trøndelag,Helse Midt-Norge,Helse Nord-Trøndelag,St Olavs Hospital,1193
5047,Overhalla,50,Trøndelag,Helse Midt-Norge,Helse Nord-Trøndelag,St Olavs Hospital,3817
5049,Flatanger,50,Trøndelag,Helse Midt-Norge,Helse Nord-Trøndelag,St Olavs Hospital,1101
5052,Leka,50,Trøndelag,Helse Midt-Norge,Helse Nord-Trøndelag,St Olavs Hospital,570
5053,Inderøy,50,Trøndelag,Helse Midt-Norge,Helse Nord-Trøndelag,St Olavs Hospital,6794
5060,Nærøysund,50,Trøndelag,Helse Midt-Norge,Helse Nord-Trøndelag,St Olavs Hospital,9732
1101,Eigersund,11,Rogaland,Helse Vest,Helse Stavanger,Stavanger Universitetssykehus,14860
1103,Stavanger,11,Rogaland,Helse Vest,Helse Stavanger,Stavanger Universitetssykehus,144699
1108,Sandnes,11,Rogaland,Helse Vest,Helse Stavanger,Stavanger Universitetssykehus,81305
1111,Sokndal,11,Rogaland,Helse Vest,Helse Stavanger,Stavanger Universitetssykehus,3281
1112,Lund,11,Rogaland,Helse Vest,Helse Stavanger,Stavanger Universitetssykehus,3178
1114,Bjerkreim,11,Rogaland,Helse Vest,Helse Stavanger,Stavanger Universitetssykehus,2789
1119,Hå,11,Rogaland,Helse Vest,Helse Stavanger,Stavanger Universitetssykehus,19296
1120,Klepp,11,Rogaland,Helse Vest,Helse Stavanger,Stavanger Universitetssykehus,20163
1121,Time,11,Rogaland,Helse Vest,Helse Stavanger,Stavanger Universitetssykehus,19353
1122,Gjesdal,11,Rogaland,Helse Vest,Helse Stavanger,Stavanger Universitetssykehus,12131
1124,Sola,11,Rogaland,Helse Vest,Helse Stavanger,Stavanger Universitetssykehus,27568
1127,Randaberg,11,Rogaland,Helse Vest,Helse Stavanger,Stavanger Universitetssykehus,11454
1130,Strand,11,Rogaland,Helse Vest,Helse Stavanger,Stavanger Universitetssykehus,13268
1133,Hjelmeland,11,Rogaland,Helse Vest,Helse Stavanger,Stavanger Universitetssykehus,2534
1144,Kvitsøy,11,Rogaland,Helse Vest,Helse Stavanger,Stavanger Universitetssykehus,523
30101,Gamle Oslo,3,Oslo,Helse Sør-Øst,Lovisenberg Diakonale Sykehus,Oslo Universitetssykehus,58671
30102,Grünerløkka,3,Oslo,Helse Sør-Øst,Lovisenberg Diakonale Sykehus,Oslo Universitetssykehus,62423
30104,St. Hanshaugen,3,Oslo,Helse Sør-Øst,Lovisenberg Diakonale Sykehus,Oslo Universitetssykehus,38945
30116,Sentrum,3,Oslo,Helse Sør-Øst,Lovisenberg Diakonale Sykehus,Oslo Universitetssykehus,1471
1804,Bodø,18,Nordland,Helse Nord,Nordlandssykehuset,Nordlandssykehuset Bodø,52803
1837,Meløy,18,Nordland,Helse Nord,Nordlandssykehuset,Nordlandssykehuset Bodø,6214
1838,Gildeskål,18,Nordland,Helse Nord,Nordlandssykehuset,Nordlandssykehuset Bodø,1894
1839,Beiarn,18,Nordland,Helse Nord,Nordlandssykehuset,Nordlandssykehuset Bodø,1012
1840,Saltdal,18,Nordland,Helse Nord,Nordlandssykehuset,Nordlandssykehuset Bodø,4617
1841,Fauske,18,Nordland,Helse Nord,Nordlandssykehuset,Nordlandssykehuset Bodø,9603
1845,Sørfold,18,Nordland,Helse Nord,Nordlandssykehuset,Nordlandssykehuset Bodø,1869
1848,Steigen,18,Nordland,Helse Nord,Nordlandssykehuset,Nordlandssykehuset Bodø,2591
1856,Røst,18,Nordland,Helse Nord,Nordlandssykehuset,Nordlandssykehuset Bodø,469
1857,Værøy,18,Nordland,Helse Nord,Nordlandssykehuset,Nordlandssykehuset Bodø,678
1859,Flakstad,18,Nordland,Helse Nord,Nordlandssykehuset,Nordlandssykehuset Bodø,1216
1860,Vestvågøy,18,Nordland,Helse Nord,Nordlandssykehuset,Nordlandssykehuset Bodø,11566
1865,Vågan,18,Nordland,Helse Nord,Nordlandssykehuset,Nordlandssykehuset Bodø,9724
1866,Hadsel,18,Nordland,Helse Nord,Nordlandssykehuset,Nordlandssykehuset Bodø,8107
1867,Bø (Nordland),18,Nordland,Helse Nord,Nordlandssykehuset,Nordlandssykehuset Bodø,2565
1868,Øksnes,18,Nordland,Helse Nord,Nordlandssykehuset,Nordlandssykehuset Bodø,4458
1870,Sortland,18,Nordland,Helse Nord,Nordlandssykehuset,Nordlandssykehuset Bodø,10468
1871,Andøy,18,Nordland,Helse Nord,Nordlandssykehuset,Nordlandssykehuset Bodø,4572
1874,Moskenes,18,Nordland,Helse Nord,Nordlandssykehuset,Nordlandssykehuset Bodø,982
1875,Hamarøy,18,Nordland,Helse Nord,Nordlandssykehuset,Nordlandssykehuset Bodø,2708
301,Oslo kommune,3,Oslo,Helse Sør-Øst,Oslo Universitetssykehus,Oslo Universitetssykehus,699827
30103,Sagene,3,Oslo,Helse Sør-Øst,Oslo Universitetssykehus,Oslo Universitetssykehus,45089
30108,Nordre Aker,3,Oslo,Helse Sør-Øst,Oslo Universitetssykehus,Oslo Universitetssykehus,52327
30109,Bjerke,3,Oslo,Helse Sør-Øst,Oslo Universitetssykehus,Oslo Universitetssykehus,33422
30113,Østensjø,3,Oslo,Helse Sør-Øst,Oslo Universitetssykehus,Oslo Universitetssykehus,50806
30114,Nordstrand,3,Oslo,Helse Sør-Øst,Oslo Universitetssykehus,Oslo Universitetssykehus,52459
30115,Søndre Nordstrand,3,Oslo,Helse Sør-Øst,Oslo Universitetssykehus,Oslo Universitetssykehus,39066
30117,Marka,3,Oslo,Helse Sør-Øst,Oslo Universitetssykehus,Oslo Universitetssykehus,1610
5001,Trondheim,50,Trøndelag,Helse Midt-Norge,St Olavs Hospital,St Olavs Hospital,210496
5014,Frøya,50,Trøndelag,Helse Midt-Norge,St Olavs Hospital,St Olavs Hospital,5265
5021,Oppdal,50,Trøndelag,Helse Midt-Norge,St Olavs Hospital,St Olavs Hospital,7066
5022,Rennebu,50,Trøndelag,Helse Midt-Norge,St Olavs Hospital,St Olavs Hospital,2443
5025,Røros,50,Trøndelag,Helse Midt-Norge,St Olavs Hospital,St Olavs Hospital,5572
5026,Holtålen,50,Trøndelag,Helse Midt-Norge,St Olavs Hospital,St Olavs Hospital,1953
5027,Midtre Gauldal,50,Trøndelag,Helse Midt-Norge,St Olavs Hospital,St Olavs Hospital,6120
5028,Melhus,50,Trøndelag,Helse Midt-Norge,St Olavs Hospital,St Olavs Hospital,17123
5029,Skaun,50,Trøndelag,Helse Midt-Norge,St Olavs Hospital,St Olavs Hospital,8360
5031,Malvik,50,Trøndelag,Helse Midt-Norge,St Olavs Hospital,St Olavs Hospital,14425
5054,Indre Fosen,50,Trøndelag,Helse Midt-Norge,St Olavs Hospital,St Olavs Hospital,9899
5056,Hitra,50,Trøndelag,Helse Midt-Norge,St Olavs Hospital,St Olavs Hospital,5156
5057,Ørland,50,Trøndelag,Helse Midt-Norge,St Olavs Hospital,St Olavs Hospital,10371
5058,Åfjord,50,Trøndelag,Helse Midt-Norge,St Olavs Hospital,St Olavs Hospital,4252
5059,Orkland,50,Trøndelag,Helse Midt-Norge,St Olavs Hospital,St Olavs Hospital,18502
3806,Porsgrunn,38,Vestfold og Telemark,Helse Sør-Øst,Sykehuset i Telemark,Oslo Universitetssykehus,36624
3807,Skien,38,Vestfold og Telemark,Helse Sør-Øst,Sykehuset i Telemark,Oslo Universitetssykehus,55513
3808,Notodden,38,Vestfold og Telemark,Helse Sør-Øst,Sykehuset i Telemark,Oslo Universitetssykehus,13029
3812,Siljan,38,Vestfold og Telemark,Helse Sør-Øst,Sykehuset i Telemark,Oslo Universitetssykehus,2349
3813,Bamble,38,Vestfold og Telemark,Helse Sør-Øst,Sykehuset i Telemark,Oslo Universitetssykehus,14056
3814,Kragerø,38,Vestfold og Telemark,Helse Sør-Øst,Sykehuset i Telemark,Oslo Universitetssykehus,10351
3815,Drangedal,38,Vestfold og Telemark,Helse Sør-Øst,Sykehuset i Telemark,Oslo Universitetssykehus,4093
3816,Nome,38,Vestfold og Telemark,Helse Sør-Øst,Sykehuset i Telemark,Oslo Universitetssykehus,6494
3817,Midt-Telemark,38,Vestfold og Telemark,Helse Sør-Øst,Sykehuset i Telemark,Oslo Universitetssykehus,10539
3818,Tinn,38,Vestfold og Telemark,Helse Sør-Øst,Sykehuset i Telemark,Oslo Universitetssykehus,5512
3819,Hjartdal,38,Vestfold og Telemark,Helse Sør-Øst,Sykehuset i Telemark,Oslo Universitetssykehus,1562
3820,Seljord,38,Vestfold og Telemark,Helse Sør-Øst,Sykehuset i Telemark,Oslo Universitetssykehus,2889
3821,Kviteseid,38,Vestfold og Telemark,Helse Sør-Øst,Sykehuset i Telemark,Oslo Universitetssykehus,2452
3822,Nissedal,38,Vestfold og Telemark,Helse Sør-Øst,Sykehuset i Telemark,Oslo Universitetssykehus,1414
3823,Fyresdal,38,Vestfold og Telemark,Helse Sør-Øst,Sykehuset i Telemark,Oslo Universitetssykehus,1198
3824,Tokke,38,Vestfold og Telemark,Helse Sør-Øst,Sykehuset i Telemark,Oslo Universitetssykehus,2140
3825,Vinje,38,Vestfold og Telemark,Helse Sør-Øst,Sykehuset i Telemark,Oslo Universitetssykehus,3755
3801,Horten,38,Vestfold og Telemark,Helse Sør-Øst,Sykehuset i Vestfold,Oslo Universitetssykehus,27502
3802,Holmestrand (tidl. Holmestrand),38,Vestfold og Telemark,Helse Sør-Øst,Sykehuset i Vestfold,Oslo Universitetssykehus,25681
3803,Tønsberg,38,Vestfold og Telemark,Helse Sør-Øst,Sykehuset i Vestfold,Oslo Universitetssykehus,57794
3804,Sandefjord,38,Vestfold og Telemark,Helse Sør-Øst,Sykehuset i Vestfold,Oslo Universitetssykehus,64943
3805,Larvik,38,Vestfold og Telemark,Helse Sør-Øst,Sykehuset i Vestfold,Oslo Universitetssykehus,47777
3811,Færder,38,Vestfold og Telemark,Helse Sør-Øst,Sykehuset i Vestfold,Oslo Universitetssykehus,27165
3054,Lunner,30,Viken,Helse Sør-Øst,Sykehuset Innlandet,Oslo Universitetssykehus,9144
3403,Hamar,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,31999
3405,Lillehammer,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,28425
3407,Gjøvik,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,30267
3411,Ringsaker,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,35073
3412,Løten,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,7715
3413,Stange,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,21156
3418,Åsnes,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,7211
3419,Våler (Innlandet),34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,3597
3420,Elverum,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,21435
3421,Trysil,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,6603
3422,Åmot,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,4195
